tf,arm,n,net,pf,maxdd,win%,mfe_med,reach1R,reach2R,perq
m5,A,1232,-1892.2999999999997,0.9518580679268592,5020.840000000007,56.98051948051948,0.875,43.425324675324674,21.59090909090909,2025Q1:-2194;2025Q2:-1791;2025Q3:-388;2025Q4:763;2026Q1:2165;2026Q2:-447
m5,B,1661,-1666.6599999999996,0.9713527656322568,4857.670000000014,55.629139072847686,0.84,42.203491872366044,19.145093317278747,2025Q1:-1833;2025Q2:-1509;2025Q3:350;2025Q4:-388;2026Q1:1650;2026Q2:64
