Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1393,Exit long,2025-09-30 09:51,L TP1,3835.182,15.8,60650.3224,-55.53,-0.09,35.8,0.06,-54.63,-0.09,3695.25,36.95
1393,Entry long,2025-09-30 09:15,L,3838.628,15.8,60650.3224,-55.53,-0.09,35.8,0.06,-54.63,-0.09,3695.25,36.95
1394,Exit long,2025-09-30 09:51,L TP2,3835.182,63.23,242716.4484,-219.51,-0.09,143.25,0.06,-218.61,-0.09,3476.46,34.76
1394,Entry long,2025-09-30 09:15,L,3838.628,63.23,242716.4484,-219.51,-0.09,143.25,0.06,-218.61,-0.09,3476.46,34.76
1395,Exit long,2025-09-30 10:00,L TP1,3840.067,15.81,60668.78808,41.59,0.07,42.49,0.07,-22.36,-0.04,3517.33,35.17
1395,Entry long,2025-09-30 09:54,L,3837.368,15.81,60668.78808,41.59,0.07,42.49,0.07,-22.36,-0.04,3517.33,35.17
1396,Exit long,2025-09-30 10:00,L TP2,3843.475,63.27,242790.2734,384.77,0.16,385.67,0.16,-89.49,-0.04,3902.82,39.03
1396,Entry long,2025-09-30 09:54,L,3837.368,63.27,242790.2734,384.77,0.16,385.67,0.16,-89.49,-0.04,3902.82,39.03
1397,Exit long,2025-09-30 13:15,L TP1,3862.522,18.17,70237.00716,-56.06,-0.08,4.76,0.01,-55.16,-0.08,3846.04,38.46
1397,Entry long,2025-09-30 13:12,L,3865.548,18.17,70237.00716,-56.06,-0.08,4.76,0.01,-55.16,-0.08,3846.04,38.46
1398,Exit long,2025-09-30 13:15,L TP2,3862.522,72.72,281102.6506,-221.67,-0.08,19.06,0.01,-220.77,-0.08,3625.09,36.25
1398,Entry long,2025-09-30 13:12,L,3865.548,72.72,281102.6506,-221.67,-0.08,19.06,0.01,-220.77,-0.08,3625.09,36.25
1399,Exit long,2025-09-30 13:21,L TP1,3864.906,18.05,69715.2009,45.27,0.06,46.17,0.07,-4.39,-0.01,3669.64,36.70
1399,Entry long,2025-09-30 13:18,L,3862.338,18.05,69715.2009,45.27,0.06,46.17,0.07,-4.39,-0.01,3669.64,36.70
1400,Exit long,2025-09-30 14:00,L TP2,3867.925,72.21,278899.427,401.82,0.14,402.72,0.14,-17.54,-0.01,4072.18,40.72
1400,Entry long,2025-09-30 13:18,L,3862.338,72.21,278899.427,401.82,0.14,402.72,0.14,-17.54,-0.01,4072.18,40.72
1401,Exit long,2025-09-30 14:03,L TP1,3870.061,21.69,83896.33437,44.21,0.05,45.11,0.05,-1.44,0.00,4115.67,41.16
1401,Entry long,2025-09-30 14:03,L,3867.973,21.69,83896.33437,44.21,0.05,45.11,0.05,-1.44,0.00,4115.67,41.16
1402,Exit long,2025-09-30 14:06,L TP2,3868.066,86.76,335585.3375,6.45,0.00,185.55,0.06,-5.75,0.00,4122.84,41.23
1402,Entry long,2025-09-30 14:03,L,3867.973,86.76,335585.3375,6.45,0.00,185.55,0.06,-5.75,0.00,4122.84,41.23
1403,Exit long,2025-09-30 14:30,L TP1,3865.398,17.3,66928.2159,-57.91,-0.09,24.77,0.04,-57.01,-0.09,4064.21,40.64
1403,Entry long,2025-09-30 14:18,L,3868.683,17.3,66928.2159,-57.91,-0.09,24.77,0.04,-57.01,-0.09,4064.21,40.64
1404,Exit long,2025-09-30 14:30,L TP2,3865.398,69.23,267828.9241,-229.04,-0.09,99.11,0.04,-228.14,-0.09,3835.89,38.36
1404,Entry long,2025-09-30 14:18,L,3868.683,69.23,267828.9241,-229.04,-0.09,99.11,0.04,-228.14,-0.09,3835.89,38.36
1405,Exit long,2025-09-30 23:54,L TP1,3852.838,7.83,30123.87354,42.77,0.14,43.67,0.14,-35.56,-0.12,3877.93,38.78
1405,Entry long,2025-09-30 23:18,L,3847.238,7.83,30123.87354,42.77,0.14,43.67,0.14,-35.56,-0.12,3877.93,38.78
1406,Exit long,2025-10-01 00:00,L TP2,3847.392,31.36,120649.3837,3.21,0.00,233.29,0.19,-142.4,-0.12,3881.86,38.82
1406,Entry long,2025-09-30 23:18,L,3847.238,31.36,120649.3837,3.21,0.00,233.29,0.19,-142.4,-0.12,3881.86,38.82
1407,Exit long,2025-10-01 02:45,L TP1,3844.507,16.9,65028.3777,-57.29,-0.09,25.96,0.04,-56.39,-0.09,3823.85,38.24
1407,Entry long,2025-10-01 02:24,L,3847.833,16.9,65028.3777,-57.29,-0.09,25.96,0.04,-56.39,-0.09,3823.85,38.24
1408,Exit long,2025-10-01 02:45,L TP2,3844.507,67.62,260190.4675,-226.52,-0.09,103.89,0.04,-225.62,-0.09,3598.05,35.98
1408,Entry long,2025-10-01 02:24,L,3847.833,67.62,260190.4675,-226.52,-0.09,103.89,0.04,-225.62,-0.09,3598.05,35.98
1409,Exit long,2025-10-01 05:00,L TP1,3855.84,22.1,85268.7173,-55.73,-0.07,40.64,0.05,-54.83,-0.06,3541.6,35.42
1409,Entry long,2025-10-01 04:57,L,3858.313,22.1,85268.7173,-55.73,-0.07,40.64,0.05,-54.83,-0.06,3541.6,35.42
1410,Exit long,2025-10-01 05:00,L TP2,3855.84,88.4,341074.8692,-220.23,-0.06,162.55,0.05,-219.33,-0.06,3322.08,33.22
1410,Entry long,2025-10-01 04:57,L,3858.313,88.4,341074.8692,-220.23,-0.06,162.55,0.05,-219.33,-0.06,3322.08,33.22
1411,Exit long,2025-10-01 05:03,L TP1,3852.214,18.42,71009.15526,-52.45,-0.07,13.3,0.02,-51.55,-0.07,3268.91,32.69
1411,Entry long,2025-10-01 05:03,L,3855.003,18.42,71009.15526,-52.45,-0.07,13.3,0.02,-51.55,-0.07,3268.91,32.69
1412,Exit long,2025-10-01 05:03,L TP2,3852.214,73.69,284075.1711,-207.14,-0.07,53.22,0.02,-206.24,-0.07,3062.49,30.62
1412,Entry long,2025-10-01 05:03,L,3855.003,73.69,284075.1711,-207.14,-0.07,53.22,0.02,-206.24,-0.07,3062.49,30.62
1413,Exit long,2025-10-01 05:36,L TP1,3858.568,17.15,66131.82345,41.54,0.06,42.44,0.06,-11.46,-0.02,3103.31,31.03
1413,Entry long,2025-10-01 05:33,L,3856.083,17.15,66131.82345,41.54,0.06,42.44,0.06,-11.46,-0.02,3103.31,31.03
1414,Exit long,2025-10-01 05:45,L TP2,3856.222,68.61,264565.8546,7.92,0.00,199.07,0.08,-45.87,-0.02,3111.94,31.12
1414,Entry long,2025-10-01 05:33,L,3856.083,68.61,264565.8546,7.92,0.00,199.07,0.08,-45.87,-0.02,3111.94,31.12
1415,Exit long,2025-10-01 14:06,L TP1,3865.977,17.02,65851.53736,-53.69,-0.08,6.83,0.01,-52.79,-0.08,3057.53,30.58
1415,Entry long,2025-10-01 14:06,L,3869.068,17.02,65851.53736,-53.69,-0.08,6.83,0.01,-52.79,-0.08,3057.53,30.58
1416,Exit long,2025-10-01 14:06,L TP2,3865.977,68.12,263560.9122,-212.18,-0.08,27.35,0.01,-211.28,-0.08,2846.08,28.46
1416,Entry long,2025-10-01 14:06,L,3869.068,68.12,263560.9122,-212.18,-0.08,27.35,0.01,-211.28,-0.08,2846.08,28.46
1417,Exit long,2025-10-01 14:15,L TP1,3866.529,14.63,56526.63324,39.61,0.07,40.51,0.07,-5.71,-0.01,2884.96,28.85
1417,Entry long,2025-10-01 14:09,L,3863.748,14.63,56526.63324,39.61,0.07,40.51,0.07,-5.71,-0.01,2884.96,28.85
1418,Exit long,2025-10-01 14:33,L TP2,3863.822,58.54,226183.8079,2.71,0.00,274.54,0.12,-22.85,-0.01,2888.39,28.88
1418,Entry long,2025-10-01 14:09,L,3863.748,58.54,226183.8079,2.71,0.00,274.54,0.12,-22.85,-0.01,2888.39,28.88
1419,Exit long,2025-10-01 16:48,L TP1,3874.24,14.78,57220.22314,39.96,0.07,40.86,0.07,-46.41,-0.08,2927.64,29.28
1419,Entry long,2025-10-01 16:36,L,3871.463,14.78,57220.22314,39.96,0.07,40.86,0.07,-46.41,-0.08,2927.64,29.28
1420,Exit long,2025-10-01 16:51,L TP2,3877.728,59.13,228919.6072,368.83,0.16,369.73,0.16,-185.68,-0.08,3297.19,32.97
1420,Entry long,2025-10-01 16:36,L,3871.463,59.13,228919.6072,368.83,0.16,369.73,0.16,-185.68,-0.08,3297.19,32.97
1421,Exit long,2025-10-01 17:00,L TP1,3882.14,12.97,50309.24221,41.03,0.08,41.93,0.08,-40.43,-0.08,3337.5,33.38
1421,Entry long,2025-10-01 16:54,L,3878.893,12.97,50309.24221,41.03,0.08,41.93,0.08,-40.43,-0.08,3337.5,33.38
1422,Exit long,2025-10-01 17:09,L TP2,3886.24,51.9,201314.5467,379.69,0.19,380.59,0.19,-161.77,-0.08,3717.91,37.18
1422,Entry long,2025-10-01 16:54,L,3878.893,51.9,201314.5467,379.69,0.19,380.59,0.19,-161.77,-0.08,3717.91,37.18
1423,Exit short,2025-10-01 22:30,S TP1,3875.187,8.93,34550.58971,-55.91,-0.16,30.33,0.09,-55.01,-0.16,3661.28,36.61
1423,Entry short,2025-10-01 22:18,S,3869.047,8.93,34550.58971,-55.91,-0.16,30.33,0.09,-55.01,-0.16,3661.28,36.61
1424,Exit short,2025-10-01 22:30,S TP2,3875.187,35.72,138202.3588,-220.94,-0.16,121.34,0.09,-220.04,-0.16,3441.06,34.41
1424,Entry short,2025-10-01 22:18,S,3869.047,35.72,138202.3588,-220.94,-0.16,121.34,0.09,-220.04,-0.16,3441.06,34.41
1425,Exit short,2025-10-02 01:24,S TP1,3870.063,7.31,28236.49782,-54.74,-0.19,34.01,0.12,-53.84,-0.19,3385.6,33.86
1425,Entry short,2025-10-02 00:24,S,3862.722,7.31,28236.49782,-54.74,-0.19,34.01,0.12,-53.84,-0.19,3385.6,33.86
1426,Exit short,2025-10-02 01:24,S TP2,3870.063,29.26,113023.2457,-216.42,-0.19,136.13,0.12,-215.52,-0.19,3169.9,31.70
1426,Entry short,2025-10-02 00:24,S,3862.722,29.26,113023.2457,-216.42,-0.19,136.13,0.12,-215.52,-0.19,3169.9,31.70
1427,Exit short,2025-10-02 03:00,S TP1,3860.574,18.12,69996.23724,41.56,0.06,42.46,0.06,-40.1,-0.06,3210.73,32.11
1427,Entry short,2025-10-02 02:51,S,3862.927,18.12,69996.23724,41.56,0.06,42.46,0.06,-40.1,-0.06,3210.73,32.11
1428,Exit short,2025-10-02 03:00,S TP2,3857.668,72.5,280062.2075,379.66,0.14,380.56,0.14,-160.44,-0.06,3591.11,35.91
1428,Entry short,2025-10-02 02:51,S,3862.927,72.5,280062.2075,379.66,0.14,380.56,0.14,-160.44,-0.06,3591.11,35.91
1429,Exit short,2025-10-02 03:03,S TP1,3856.088,17.28,66676.12416,41.84,0.06,42.74,0.06,-4.98,-0.01,3632.24,36.32
1429,Entry short,2025-10-02 03:03,S,3858.572,17.28,66676.12416,41.84,0.06,42.74,0.06,-4.98,-0.01,3632.24,36.32
1430,Exit short,2025-10-02 03:06,S TP2,3858.502,69.14,266781.6681,3.22,0.00,235.53,0.09,-19.94,-0.01,3636.18,36.36
1430,Entry short,2025-10-02 03:03,S,3858.572,69.14,266781.6681,3.22,0.00,235.53,0.09,-19.94,-0.01,3636.18,36.36
1431,Exit short,2025-10-02 03:12,S TP1,3860.435,15.89,61287.68233,-55.71,-0.09,15.74,0.03,-54.81,-0.09,3579.75,35.80
1431,Entry short,2025-10-02 03:09,S,3856.997,15.89,61287.68233,-55.71,-0.09,15.74,0.03,-54.81,-0.09,3579.75,35.80
1432,Exit short,2025-10-02 03:12,S TP2,3860.435,63.58,245227.8693,-220.21,-0.09,62.99,0.03,-219.31,-0.09,3360.26,33.60
1432,Entry short,2025-10-02 03:09,S,3856.997,63.58,245227.8693,-220.21,-0.09,62.99,0.03,-219.31,-0.09,3360.26,33.60
1433,Exit short,2025-10-02 03:15,S TP1,3863.601,14.79,57088.54218,-55.2,-0.10,6.06,0.01,-54.3,-0.10,3304.34,33.04
1433,Entry short,2025-10-02 03:15,S,3859.942,14.79,57088.54218,-55.2,-0.10,6.06,0.01,-54.3,-0.10,3304.34,33.04
1434,Exit short,2025-10-02 03:15,S TP2,3863.601,59.18,228431.3676,-218.16,-0.10,24.25,0.01,-217.26,-0.10,3086.9,30.87
1434,Entry short,2025-10-02 03:15,S,3859.942,59.18,228431.3676,-218.16,-0.10,24.25,0.01,-217.26,-0.10,3086.9,30.87
1435,Exit long,2025-10-02 15:42,L TP1,3870.953,19.91,77123.23663,-53.64,-0.07,13.9,0.02,-52.74,-0.07,3032.54,30.33
1435,Entry long,2025-10-02 15:24,L,3873.593,19.91,77123.23663,-53.64,-0.07,13.9,0.02,-52.74,-0.07,3032.54,30.33
1436,Exit long,2025-10-02 15:42,L TP2,3870.953,79.66,308570.4184,-211.92,-0.07,55.6,0.02,-211.02,-0.07,2821.34,28.21
1436,Entry long,2025-10-02 15:24,L,3873.593,79.66,308570.4184,-211.92,-0.07,55.6,0.02,-211.02,-0.07,2821.34,28.21
1437,Exit long,2025-10-02 16:21,L TP1,3871.089,14.66,56801.82658,-52.74,-0.09,5.27,0.01,-51.84,-0.09,2767.87,27.68
1437,Entry long,2025-10-02 16:18,L,3874.613,14.66,56801.82658,-52.74,-0.09,5.27,0.01,-51.84,-0.09,2767.87,27.68
1438,Exit long,2025-10-02 16:21,L TP2,3871.089,58.65,227246.0524,-208.3,-0.09,21.1,0.01,-207.4,-0.09,2560.29,25.60
1438,Entry long,2025-10-02 16:18,L,3874.613,58.65,227246.0524,-208.3,-0.09,21.1,0.01,-207.4,-0.09,2560.29,25.60
1439,Exit long,2025-10-02 17:54,L TP1,3877.933,13.25,51342.266,39.27,0.08,40.17,0.08,-3.73,-0.01,2598.84,25.99
1439,Entry long,2025-10-02 17:48,L,3874.888,13.25,51342.266,39.27,0.08,40.17,0.08,-3.73,-0.01,2598.84,25.99
1440,Exit long,2025-10-02 17:57,L TP2,3875.011,53.01,205407.8129,4.9,0.00,209.84,0.10,-14.93,-0.01,2604.46,26.04
1440,Entry long,2025-10-02 17:48,L,3874.888,53.01,205407.8129,4.9,0.00,209.84,0.10,-14.93,-0.01,2604.46,26.04
1441,Exit long,2025-10-02 18:03,L TP1,3877.686,13.33,51648.85789,39.62,0.08,40.52,0.08,-15.75,-0.03,2643.36,26.43
1441,Entry long,2025-10-02 18:00,L,3874.633,13.33,51648.85789,39.62,0.08,40.52,0.08,-15.75,-0.03,2643.36,26.43
1442,Exit long,2025-10-02 18:06,L TP2,3874.786,53.33,206634.1779,6.54,0.00,209.24,0.10,-63.01,-0.03,2650.61,26.51
1442,Entry long,2025-10-02 18:00,L,3874.633,53.33,206634.1779,6.54,0.00,209.24,0.10,-63.01,-0.03,2650.61,26.51
1443,Exit short,2025-10-02 23:18,S TP1,3866.51,8.01,31011.01137,39.19,0.13,40.09,0.13,-5.77,-0.02,2689.08,26.89
1443,Entry short,2025-10-02 23:15,S,3871.537,8.01,31011.01137,39.19,0.13,40.09,0.13,-5.77,-0.02,2689.08,26.89
1444,Exit short,2025-10-02 23:24,S TP2,3860.198,32.07,124160.1916,362.02,0.29,362.92,0.29,-23.1,-0.02,3051.82,30.52
1444,Entry short,2025-10-02 23:15,S,3871.537,32.07,124160.1916,362.02,0.29,362.92,0.29,-23.1,-0.02,3051.82,30.52
1445,Exit short,2025-10-02 23:36,S TP1,3853.964,7.59,29293.05093,40.38,0.14,41.28,0.14,-51.74,-0.18,3091.49,30.91
1445,Entry short,2025-10-02 23:27,S,3859.427,7.59,29293.05093,40.38,0.14,41.28,0.14,-51.74,-0.18,3091.49,30.91
1446,Exit short,2025-10-02 23:36,S TP2,3847.089,30.37,117210.798,373.09,0.32,373.99,0.32,-207.02,-0.18,3465.29,34.65
1446,Entry short,2025-10-02 23:27,S,3859.427,30.37,117210.798,373.09,0.32,373.99,0.32,-207.02,-0.18,3465.29,34.65
1447,Exit short,2025-10-02 23:39,S TP1,3842.549,6.48,24942.63456,41.84,0.17,42.74,0.17,-6.06,-0.02,3506.41,35.06
1447,Entry short,2025-10-02 23:39,S,3849.172,6.48,24942.63456,41.84,0.17,42.74,0.17,-6.06,-0.02,3506.41,35.06
1448,Exit short,2025-10-02 23:45,S TP2,3834.243,25.94,99847.52168,385.64,0.39,386.54,0.39,-24.27,-0.02,3892.77,38.93
1448,Entry short,2025-10-02 23:39,S,3849.172,25.94,99847.52168,385.64,0.39,386.54,0.39,-24.27,-0.02,3892.77,38.93
1449,Exit short,2025-10-02 23:57,S TP1,3840.252,5.77,22102.97744,-56.36,-0.25,30.24,0.14,-55.46,-0.25,3835.69,38.36
1449,Entry short,2025-10-02 23:48,S,3830.672,5.77,22102.97744,-56.36,-0.25,30.24,0.14,-55.46,-0.25,3835.69,38.36
1450,Exit short,2025-10-02 23:57,S TP2,3840.252,23.08,88411.90976,-222.73,-0.25,120.96,0.14,-221.83,-0.25,3613.68,36.14
1450,Entry short,2025-10-02 23:48,S,3830.672,23.08,88411.90976,-222.73,-0.25,120.96,0.14,-221.83,-0.25,3613.68,36.14
1451,Exit long,2025-10-03 08:45,L TP1,3863.646,27.56,106435.9759,45.03,0.04,45.93,0.04,-17.07,-0.02,3657.99,36.58
1451,Entry long,2025-10-03 08:42,L,3861.973,27.56,106435.9759,45.03,0.04,45.93,0.04,-17.07,-0.02,3657.99,36.58
1452,Exit long,2025-10-03 09:00,L TP2,3862.117,110.28,425898.3824,14.26,0.00,191.39,0.04,-68.32,-0.02,3672.97,36.73
1452,Entry long,2025-10-03 08:42,L,3861.973,110.28,425898.3824,14.26,0.00,191.39,0.04,-68.32,-0.02,3672.97,36.73
1453,Exit long,2025-10-03 09:03,L TP1,3859.441,29.23,112868.3712,-57.99,-0.05,11.13,0.01,-57.09,-0.05,3614.26,36.14
1453,Entry long,2025-10-03 09:03,L,3861.388,29.23,112868.3712,-57.99,-0.05,11.13,0.01,-57.09,-0.05,3614.26,36.14
1454,Exit long,2025-10-03 09:03,L TP2,3859.441,116.93,451512.0988,-229.28,-0.05,44.53,0.01,-228.38,-0.05,3385.7,33.86
1454,Entry long,2025-10-03 09:03,L,3861.388,116.93,451512.0988,-229.28,-0.05,44.53,0.01,-228.38,-0.05,3385.7,33.86
1455,Exit long,2025-10-03 17:12,L TP1,3861.889,20.97,81037.78911,-55.06,-0.07,27.96,0.03,-54.16,-0.07,3329.92,33.30
1455,Entry long,2025-10-03 17:00,L,3864.463,20.97,81037.78911,-55.06,-0.07,27.96,0.03,-54.16,-0.07,3329.92,33.30
1456,Exit long,2025-10-03 17:12,L TP2,3861.889,83.91,324267.0903,-217.6,-0.07,111.89,0.03,-216.7,-0.07,3113.04,31.13
1456,Entry long,2025-10-03 17:00,L,3864.463,83.91,324267.0903,-217.6,-0.07,111.89,0.03,-216.7,-0.07,3113.04,31.13
1457,Exit long,2025-10-03 21:57,L TP1,3873.302,14.19,54920.16717,40.91,0.07,41.81,0.08,-11.01,-0.02,3153.23,31.53
1457,Entry long,2025-10-03 21:48,L,3870.343,14.19,54920.16717,40.91,0.07,41.81,0.08,-11.01,-0.02,3153.23,31.53
1458,Exit long,2025-10-03 22:03,L TP2,3870.459,56.77,219719.3721,4.97,0.00,320.71,0.15,-44.04,-0.02,3158.91,31.59
1458,Entry long,2025-10-03 21:48,L,3870.343,56.77,219719.3721,4.97,0.00,320.71,0.15,-44.04,-0.02,3158.91,31.59
1459,Exit long,2025-10-03 22:06,L TP1,3874.103,13.46,52103.56578,40.78,0.08,41.68,0.08,-10.25,-0.02,3198.97,31.99
1459,Entry long,2025-10-03 22:06,L,3870.993,13.46,52103.56578,40.78,0.08,41.68,0.08,-10.25,-0.02,3198.97,31.99
1460,Exit long,2025-10-03 22:15,L TP2,3878.012,53.85,208452.9731,376.35,0.18,377.25,0.18,-41,-0.02,3576.05,35.76
1460,Entry long,2025-10-03 22:06,L,3870.993,53.85,208452.9731,376.35,0.18,377.25,0.18,-41,-0.02,3576.05,35.76
1461,Exit long,2025-10-03 22:30,L TP1,3880.068,12.66,49176.73188,-56.15,-0.11,0.98,0.00,-55.25,-0.11,3519.17,35.19
1461,Entry long,2025-10-03 22:24,L,3884.418,12.66,49176.73188,-56.15,-0.11,0.98,0.00,-55.25,-0.11,3519.17,35.19
1462,Exit long,2025-10-03 22:30,L TP2,3880.068,50.64,196706.9275,-221.9,-0.11,3.94,0.00,-221,-0.11,3297.99,32.98
1462,Entry long,2025-10-03 22:24,L,3884.418,50.64,196706.9275,-221.9,-0.11,3.94,0.00,-221,-0.11,3297.99,32.98
1463,Exit long,2025-10-03 22:45,L TP1,3889.111,9.16,35581.95588,41.22,0.12,42.12,0.12,-24.85,-0.07,3338.49,33.38
1463,Entry long,2025-10-03 22:36,L,3884.493,9.16,35581.95588,41.22,0.12,42.12,0.12,-24.85,-0.07,3338.49,33.38
1464,Exit long,2025-10-03 22:48,L TP2,3884.669,36.68,142483.2032,4.84,0.00,230.8,0.16,-99.5,-0.07,3344.05,33.44
1464,Entry long,2025-10-03 22:36,L,3884.493,36.68,142483.2032,4.84,0.00,230.8,0.16,-99.5,-0.07,3344.05,33.44
1465,Exit long,2025-10-06 07:57,L TP1,3896.572,16.44,64013.87472,44.69,0.07,45.59,0.07,-14.12,-0.02,3388.02,33.88
1465,Entry long,2025-10-06 07:45,L,3893.788,16.44,64013.87472,44.69,0.07,45.59,0.07,-14.12,-0.02,3388.02,33.88
1466,Exit long,2025-10-06 07:57,L TP2,3899.817,65.79,256172.3125,395.03,0.15,395.93,0.15,-56.51,-0.02,3783.76,37.84
1466,Entry long,2025-10-06 07:45,L,3893.788,65.79,256172.3125,395.03,0.15,395.93,0.15,-56.51,-0.02,3783.76,37.84
1467,Exit long,2025-10-06 08:00,L TP1,3902.564,14.02,54669.77026,43.1,0.08,44,0.08,-20.69,-0.04,3826.14,38.26
1467,Entry long,2025-10-06 08:00,L,3899.413,14.02,54669.77026,43.1,0.08,44,0.08,-20.69,-0.04,3826.14,38.26
1468,Exit long,2025-10-06 08:00,L TP2,3906.494,56.12,218835.0576,395.77,0.18,396.67,0.18,-82.82,-0.04,4222.63,42.23
1468,Entry long,2025-10-06 08:00,L,3899.413,56.12,218835.0576,395.77,0.18,396.67,0.18,-82.82,-0.04,4222.63,42.23
1469,Exit long,2025-10-06 08:03,L TP1,3912.13,11.85,46313.2128,44.45,0.10,45.35,0.10,-30.67,-0.07,4266.35,42.66
1469,Entry long,2025-10-06 08:03,L,3908.288,11.85,46313.2128,44.45,0.10,45.35,0.10,-30.67,-0.07,4266.35,42.66
1470,Exit long,2025-10-06 08:03,L TP2,3916.928,47.42,185331.017,408.09,0.22,408.99,0.22,-122.73,-0.07,4675.16,46.75
1470,Entry long,2025-10-06 08:03,L,3908.288,47.42,185331.017,408.09,0.22,408.99,0.22,-122.73,-0.07,4675.16,46.75
1471,Exit long,2025-10-06 08:06,L TP1,3910.857,9.67,37876.06521,-59.16,-0.16,31.99,0.08,-58.26,-0.15,4615.28,46.15
1471,Entry long,2025-10-06 08:06,L,3916.863,9.67,37876.06521,-59.16,-0.16,31.99,0.08,-58.26,-0.15,4615.28,46.15
1472,Exit long,2025-10-06 08:06,L TP2,3910.857,38.68,151504.2608,-233.93,-0.15,127.97,0.08,-233.03,-0.15,4382.07,43.82
1472,Entry long,2025-10-06 08:06,L,3916.863,38.68,151504.2608,-233.93,-0.15,127.97,0.08,-233.03,-0.15,4382.07,43.82
1473,Exit long,2025-10-06 13:27,L TP1,3933.849,15.76,61950.55848,45.82,0.07,46.72,0.08,-31.67,-0.05,4427.17,44.27
1473,Entry long,2025-10-06 13:03,L,3930.873,15.76,61950.55848,45.82,0.07,46.72,0.08,-31.67,-0.05,4427.17,44.27
1474,Exit long,2025-10-06 13:39,L TP2,3937.497,63.08,247959.4688,416.22,0.17,417.12,0.17,-126.75,-0.05,4844.12,48.44
1474,Entry long,2025-10-06 13:03,L,3930.873,63.08,247959.4688,416.22,0.17,417.12,0.17,-126.75,-0.05,4844.12,48.44
1475,Exit long,2025-10-06 14:00,L TP1,3940.594,16,63001.488,46.94,0.07,47.84,0.08,-41.03,-0.07,4890.33,48.90
1475,Entry long,2025-10-06 13:42,L,3937.593,16,63001.488,46.94,0.07,47.84,0.08,-41.03,-0.07,4890.33,48.90
1476,Exit long,2025-10-06 14:03,L TP2,3937.197,64,252005.952,-26.96,-0.01,206.45,0.08,-164.11,-0.07,4864.09,48.64
1476,Entry long,2025-10-06 13:42,L,3937.593,64,252005.952,-26.96,-0.01,206.45,0.08,-164.11,-0.07,4864.09,48.64
1477,Exit long,2025-10-06 14:06,L TP1,3943.043,14.35,56536.8188,44.77,0.08,45.67,0.08,-0.29,0.00,4908.14,49.08
1477,Entry long,2025-10-06 14:06,L,3939.848,14.35,56536.8188,44.77,0.08,45.67,0.08,-0.29,0.00,4908.14,49.08
1478,Exit long,2025-10-06 14:15,L TP2,3939.872,57.44,226304.8691,-0.24,0.00,314.17,0.14,-1.18,0.00,4908.62,49.09
1478,Entry long,2025-10-06 14:06,L,3939.848,57.44,226304.8691,-0.24,0.00,314.17,0.14,-1.18,0.00,4908.62,49.09
1479,Exit long,2025-10-06 23:09,L TP1,3949.078,8.71,34349.08698,46.3,0.13,47.2,0.14,-28.47,-0.08,4954.2,49.54
1479,Entry long,2025-10-06 23:06,L,3943.638,8.71,34349.08698,46.3,0.13,47.2,0.14,-28.47,-0.08,4954.2,49.54
1480,Exit long,2025-10-06 23:33,L TP2,3955.918,34.87,137514.6571,426.58,0.31,427.48,0.31,-113.98,-0.08,5381.5,53.82
1480,Entry long,2025-10-06 23:06,L,3943.638,34.87,137514.6571,426.58,0.31,427.48,0.31,-113.98,-0.08,5381.5,53.82
1481,Exit long,2025-10-07 00:21,L TP1,3949.107,9.64,38131.19352,-62.88,-0.16,32.37,0.08,-61.98,-0.16,5317.9,53.18
1481,Entry long,2025-10-06 23:36,L,3955.518,9.64,38131.19352,-62.88,-0.16,32.37,0.08,-61.98,-0.16,5317.9,53.18
1482,Exit long,2025-10-07 00:21,L TP2,3949.107,38.58,152603.8844,-248.96,-0.16,129.56,0.08,-248.06,-0.16,5069.66,50.70
1482,Entry long,2025-10-06 23:36,L,3955.518,38.58,152603.8844,-248.96,-0.16,129.56,0.08,-248.06,-0.16,5069.66,50.70
1483,Exit long,2025-10-07 01:06,L TP1,3967.52,12.44,49307.78112,47.09,0.10,47.99,0.10,-25.78,-0.05,5116.03,51.16
1483,Entry long,2025-10-07 01:03,L,3963.648,12.44,49307.78112,47.09,0.10,47.99,0.10,-25.78,-0.05,5116.03,51.16
1484,Exit long,2025-10-07 01:09,L TP2,3963.812,49.78,197310.3974,6.54,0.00,325.44,0.16,-103.17,-0.05,5123.29,51.23
1484,Entry long,2025-10-07 01:03,L,3963.648,49.78,197310.3974,6.54,0.00,325.44,0.16,-103.17,-0.05,5123.29,51.23
1485,Exit long,2025-10-07 04:57,L TP1,3960.481,21.99,87150.83397,-60.94,-0.07,31.86,0.04,-60.04,-0.07,5061.64,50.62
1485,Entry long,2025-10-07 04:27,L,3963.203,21.99,87150.83397,-60.94,-0.07,31.86,0.04,-60.04,-0.07,5061.64,50.62
1486,Exit long,2025-10-07 04:57,L TP2,3960.481,87.97,348642.9679,-241.07,-0.07,127.45,0.04,-240.17,-0.07,4821.28,48.21
1486,Entry long,2025-10-07 04:27,L,3963.203,87.97,348642.9679,-241.07,-0.07,127.45,0.04,-240.17,-0.07,4821.28,48.21
1487,Exit long,2025-10-07 07:15,L TP1,3972.757,18.73,74361.52759,47.13,0.06,48.03,0.06,-42.66,-0.06,4867.69,48.68
