tag,EMA_ALIGNMENT_TOLERANCE_PIPS,E1_RR,SL_EMA_DISTANCE,trades,win,net,pf,maxdd,e1,e2,e4,perq
c029,46.0,1.9,55,172,50.6,682.82,1.136,739.05,151,9,12,2024Q1:39;2024Q2:117;2024Q3:-9;2024Q4:308;2025Q1:-305;2025Q2:343;2025Q3:190
c039,60.0,1.9,27,178,50.6,692.27,1.134,737.96,156,10,12,2024Q1:31;2024Q2:184;2024Q3:-118;2024Q4:316;2025Q1:-314;2025Q2:413;2025Q3:180
c040,60.0,1.9,40,178,50.6,691.39,1.133,738.46,156,10,12,2024Q1:31;2024Q2:184;2024Q3:-118;2024Q4:316;2025Q1:-314;2025Q2:413;2025Q3:180
c005,23.0,1.9,55,169,50.9,648.43,1.13,715.65,148,9,12,2024Q1:-177;2024Q2:50;2024Q3:58;2024Q4:331;2025Q1:-212;2025Q2:345;2025Q3:254
c027,46.0,1.9,27,172,50.6,657.6,1.13,737.96,151,9,12,2024Q1:7;2024Q2:118;2024Q3:-9;2024Q4:309;2025Q1:-304;2025Q2:343;2025Q3:194
c028,46.0,1.9,40,172,50.6,656.71,1.13,738.46,151,9,12,2024Q1:7;2024Q2:117;2024Q3:-9;2024Q4:309;2025Q1:-304;2025Q2:343;2025Q3:195
c003,23.0,1.9,27,169,50.9,620.9,1.124,714.13,148,9,12,2024Q1:-209;2024Q2:51;2024Q3:57;2024Q4:331;2025Q1:-211;2025Q2:350;2025Q3:251
c004,23.0,1.9,40,169,50.9,620.23,1.124,714.84,148,9,12,2024Q1:-210;2024Q2:51;2024Q3:57;2024Q4:331;2025Q1:-211;2025Q2:350;2025Q3:252
c038,60.0,1.6,55,178,51.1,515.74,1.102,793.08,156,10,12,2024Q1:62;2024Q2:314;2024Q3:-106;2024Q4:316;2025Q1:-305;2025Q2:289;2025Q3:-54
c014,35.0,1.6,55,172,51.2,507.98,1.103,827.26,151,9,12,2024Q1:9;2024Q2:128;2024Q3:-1;2024Q4:376;2025Q1:-261;2025Q2:226;2025Q3:31
c013,35.0,1.6,40,172,51.2,475.47,1.096,826.43,151,9,12,2024Q1:-23;2024Q2:128;2024Q3:-2;2024Q4:376;2025Q1:-260;2025Q2:225;2025Q3:31
c012,35.0,1.6,27,172,51.2,472.58,1.095,829.04,151,9,12,2024Q1:-23;2024Q2:128;2024Q3:-2;2024Q4:377;2025Q1:-263;2025Q2:225;2025Q3:30
c026,46.0,1.6,55,172,51.2,457.61,1.093,793.08,151,9,12,2024Q1:49;2024Q2:195;2024Q3:2;2024Q4:309;2025Q1:-304;2025Q2:226;2025Q3:-19
c036,60.0,1.6,27,178,51.1,461.18,1.091,791.96,156,10,12,2024Q1:29;2024Q2:314;2024Q3:-107;2024Q4:316;2025Q1:-313;2025Q2:283;2025Q3:-62
c037,60.0,1.6,40,178,51.1,461.18,1.091,792.48,156,10,12,2024Q1:29;2024Q2:314;2024Q3:-107;2024Q4:316;2025Q1:-314;2025Q2:283;2025Q3:-61
c002,23.0,1.6,55,169,51.5,402.92,1.082,764.87,148,9,12,2024Q1:-147;2024Q2:139;2024Q3:53;2024Q4:321;2025Q1:-221;2025Q2:226;2025Q3:32
c024,46.0,1.6,27,172,51.2,406.75,1.083,791.96,151,9,12,2024Q1:17;2024Q2:195;2024Q3:-7;2024Q4:298;2025Q1:-303;2025Q2:225;2025Q3:-19
c025,46.0,1.6,40,172,51.2,406.44,1.083,792.48,151,9,12,2024Q1:17;2024Q2:195;2024Q3:-6;2024Q4:298;2025Q1:-304;2025Q2:225;2025Q3:-19
c000,23.0,1.6,27,169,51.5,376.71,1.077,763.36,148,9,12,2024Q1:-180;2024Q2:139;2024Q3:60;2024Q4:316;2025Q1:-215;2025Q2:225;2025Q3:32
c001,23.0,1.6,40,169,51.5,372.94,1.076,764.06,148,9,12,2024Q1:-180;2024Q2:139;2024Q3:60;2024Q4:316;2025Q1:-220;2025Q2:225;2025Q3:32
